Column Header,Bug ID / Report Number,Summary / Abstract,Tester Name,Date Reported,Product / Module,Version / Build Number,Environment,Severity Level,Priority,Steps to Reproduce,Expected Result,Actual Result,Reproducibility / Frequency,Attachments / Evidence,Status,Assigned To / Owner,Date Fixed / Resolved,Bug Cost,Notes / Comments
Description / What to Include,A unique tracking number or identifier for the defect.,"A one-line, high-level description of the problem — clear and concise.",Who found and reported the bug.,When the bug was discovered or entered into the system.,"The product name and the specific module, component, or feature affected.","Exact software version tested (e.g., v1.2 Build 46"").""","Hardware, OS, browser, or configuration used during testing (helps reproduce).","How serious the bug is (e.g., 1 = Critical, 2 = Major, 3 = Minor, 4 = Trivial).",The order in which the bug should be fixed (often set by developers or QA leads).,"Detailed, step-by-step instructions to make the bug happen again.",What should have happened according to requirements or user expectations.,What actually occurred when executing the steps.,"Whether the bug happens always, sometimes, or rarely.","Screenshots, logs, test data, or crash dumps supporting the report.","Current state — e.g., New, Open, In Progress, Fixed, Deferred, Closed.",Developer or team responsible for fixing it.,When the issue was corrected.,How much time the bug costs both the tester and developer?,"Any additional information, retest results, or observations."
,BUG-001,Subordinates disappear from display when manager is fired,Team 2 - Black Box,11/18/2025,Wacky Widget / Display Module,v1.0,Windows PowerShell / Python 3.x,1 - Critical,1 - High,1. Initialize president. 2. HIRE President1 VP1. 3. HIRE VP1 Super1. 4. HIRE Super1 Worker1. 5. FIRE President1 VP1. 6. DISPLAY,Display should show: VACANCY: Vice President with Super1 and Worker1 beneath it in hierarchy,"Subordinates (Super1, Worker1) completely disappear from display. Only shows President and VACANCY",Always,Test BBT053,Open,TBD,,Critical - Violates SRS requirement 11. Data loss appearance,Related to _display_loop not recursing into Vacancy objects
,BUG-002,System accepts numeric names for president,Team 2 - Black Box,11/18/2025,Wacky Widget / Name Validation,v1.0,Windows PowerShell / Python 3.x,2 - Major,1 - High,"1. Start program. 2. Enter ""123"" as president name. 3. Program accepts it",System should reject numeric-only names with error message,"System accepts ""123"" as valid president name",Always,Test BBT003A,Open,TBD,,High - Violates naming conventions in SRS,_valid_name() only checks for spaces and empty strings
,BUG-003,System accepts numeric names for employees,Team 2 - Black Box,11/18/2025,Wacky Widget / Name Validation,v1.0,Windows PowerShell / Python 3.x,2 - Major,1 - High,1. Initialize president. 2. HIRE President1 999. 3. System accepts it,System should reject numeric-only names with error message,"System accepts ""999"" as valid employee name",Always,Test BBT013A,Open,TBD,,High - Violates naming conventions,Same root cause as BUG-002
,BUG-004,System accepts special characters in employee names,Team 2 - Black Box,11/18/2025,Wacky Widget / Name Validation,v1.0,Windows PowerShell / Python 3.x,2 - Major,2 - Medium,1. Initialize president. 2. HIRE President1 Test@123. 3. System accepts it,System should reject names with special characters like @ # $ %,System accepts special characters in names,Always,Test BBT013B,Open,TBD,,Security risk - could allow SQL injection or escape sequence attacks,Also accepts underscores and hyphens (BBT085-086)
,BUG-005,Names are case-sensitive allowing duplicate entries,Team 2 - Black Box,11/18/2025,Wacky Widget / Name Validation,v1.0,Windows PowerShell / Python 3.x,3 - Minor,2 - Medium,1. Initialize president. 2. HIRE President1 VP1. 3. HIRE President1 vp1. 4. Both succeed,"System should reject ""vp1"" as duplicate of ""VP1"" (case-insensitive)","System treats ""VP1"" and ""vp1"" as different people",Always,Test BBT021D-021E,Open,TBD,,"Can lead to confusion with """"Bob"""" and """"bob"""" as different employees",Name uniqueness check needs case-insensitive comparison
,BUG-006,Names with leading/trailing spaces not properly rejected,Team 2 - Black Box,11/18/2025,Wacky Widget / Name Validation,v1.0,Windows PowerShell / Python 3.x,3 - Minor,3 - Low,"1. Initialize president. 2. HIRE President1 ""  SpaceName  "". 3. May be accepted",System should strip or reject names with leading/trailing whitespace,Inconsistent handling of whitespace in names,Always,Test BBT048,Open,TBD,,Low priority but should be sanitized,_valid_name() checks for spaces but not leading/trailing
,BUG-007,VP can promote Supervisor creating invalid VP under VP hierarchy,Team 2 - Black Box,11/18/2025,Wacky Widget / Promote Operation,v1.0,Windows PowerShell / Python 3.x,1 - Critical,1 - High,1. Initialize president. 2. HIRE President1 VP1. 3. HIRE President1 VP2. 4. HIRE VP2 S1. 5. PROMOTE VP1 S1. 6. Creates VP under VP,System should reject - only President can have VPs as direct reports,"Allows creation of VP (S1) reporting to another VP (VP1), breaking hierarchy rules",Always,Test BBT042,Open,TBD,,Critical - Violates SRS hierarchy structure,promote_employee() doesn't validate receiving manager's level
,BUG-008,Repeated promotions can create unlimited VP levels,Team 2 - Black Box,11/18/2025,Wacky Widget / Promote Operation,v1.0,Windows PowerShell / Python 3.x,1 - Critical,1 - High,1. Initialize president. 2. HIRE President1 VP1. 3. HIRE VP1 S1. 4. HIRE S1 W1. 5. PROMOTE VP1 W1. 6. PROMOTE VP1 W1 again,Second promotion should fail - already Supervisor,"Can repeatedly promote creating nested VP structures (VP under VP under VP, etc.)",Always,Test BBT043,Open,TBD,,Critical - Completely breaks organizational hierarchy,Related to BUG-007
,BUG-009,Empty name input doesn't reprompt properly,Team 2 - Black Box,11/18/2025,Wacky Widget / Initialization,v1.0,Windows PowerShell / Python 3.x,3 - Minor,3 - Low,1. Start program. 2. Press Enter (empty name). 3. Press Enter again. 4. Enter valid name,System should repeatedly prompt until valid name provided,Program may accept empty input or not handle multiple invalid attempts properly,Always,Test BBT003,Open,TBD,,User experience issue,initialize_president() validation needs loop
